Product Title,Old Price,New Price,Total Offers
"MSI GL Series Pulse GL66 12UEK-070 15.6"" 144 Hz IPS Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3060 Laptop GPU 16GB Memory 512GB NVMe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,599.99",52 Offers
"MSI GS Series Stealth GS66 12UGS-272 15.6"" 360 Hz Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 512 GB NVMe SSD Windows 11 Pro 64-bit Gaming Laptop",N/A,"$ 1,999.00",6 Offers
"Gigabyte AORUS 5 Gaming & Entertainment Laptop (Intel i7-12700H 14-Core, 15.6"" 144Hz Full HD (1920x1080), NVIDIA GeForce RTX 3070, 16GB RAM, 512GB SSD, Backlit KB, Wifi, USB 3.2, Win 11 Home)",N/A,"$ 1,299.00",48 Offers
"[2022] HIDevolution ASUS ROG Strix Scar 17 G733ZW 17.3"" WQHD 240Hz, 1.8 GHz i9-12900H, RTX 3070 Ti, 32 GB 4800MHz RAM, 1 TB PCIe SSD, Windows 11 Home",N/A,"$ 2,399.00",188 Offers
"[2022] HIDevolution MSI Raider GE77HX 12UGS 17.3"" QHD 240Hz, 1.5 GHz i7-12800HX, RTX 3070 Ti, 32 GB 4800MHz RAM, 1 TB PCIe SSD",N/A,"$ 2,179.00",170 Offers
"HP OMEN 16t-k000 Gaming & Entertainment Laptop (Intel i7-12700H 14-Core, 16.1"" 60Hz Full HD (1920x1080), NVIDIA RTX 3060, 32GB DDR5 4800MHz RAM, 1TB SSD, Backlit KB, Wifi, USB 3.2, Win 11 Home)",N/A,"$ 1,605.00",32 Offers
"[2022] HIDevolution MSI Raider GE66 12UGS 15.6"" QHD 240Hz, 1.7 GHz i7-12700H, RTX 3070 Ti, 64 GB 4800MHz RAM, 4 TB PCIe SSD, Windows 11 Pro",N/A,"$ 2,619.00",80 Offers
"HP Victus Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H Upto 4.7GHz, 64GB RAM, 2TB NVMe SSD, NVIDIA GeForce RTX 3050 Ti, HDMI, DisplayPort via USB-C, Wi-Fi, Bluetooth, Windows 11 Pro",N/A,"$ 1,539.99",
"[2022] HIDevolution MSI Katana GF66 12UGSK 15.6"" FHD 144Hz, 1.8 GHz i9-12900H, RTX 3070 Ti, 64 GB 3200MHz RAM, 1 TB PCIe SSD",N/A,"$ 1,999.00",120 Offers
"MSI Sword 15  Gaming & Entertainment Laptop (Intel i7-12650H 10-Core, 15.6"" 144Hz Full HD (1920x1080), GeForce RTX 3070 Ti, 32GB RAM, 1TB PCIe SSD, Backlit KB, Wifi, USB 3.2, HDMI, Win 10 Pro)",N/A,"$ 1,899.99",72 Offers
"MSI Crosshair 15 R6E B12UGZ-050 15.6"" 165 Hz Intel Core i7 12th Gen 12700H (2.30GHz) NVIDIA GeForce RTX 3070 Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,499.00",
"Lenovo Legion Slim 7i Gen 7 Intel Laptop, 16.0"" IPS  Low Blue Light, i7-12700H,  GeForce RTX 3050 Ti Laptop GPU 4GB GDDR6, 16GB, 512GB, Win 11 Home",N/A,"$ 1,319.99",
"MSI GE76 17.3"" Gaming Laptops  i7-12700H/RTX3060/16GB DDR5/1TB SSD",N/A,"$ 1,599.99",
"MSI GF Series Katana GF66 12UGSK-836 15.6"" 144 Hz IPS Intel Core i7 12th Gen 12650H (2.30GHz) NVIDIA GeForce RTX 3070 Ti Laptop GPU 16GB Memory 1 TB PCIe SSD Windows 11 Home 64-bit Gaming Laptop",N/A,"$ 1,519.00",
"ASUS ROG Zephyrus M16 Gaming Laptop (Intel i7-12700H 14-Core, 16.0"" 165Hz Wide UXGA (1920x1200), NVIDIA GeForce RTX 3060, 16GB DDR5 4800MHz RAM, 512GB SSD, Win 11 Home) with Travel & Work Backpack",N/A,"$ 1,599.00",60 Offers
"MSI GE Series 15.6"" 4K/UHD 120 Hz Intel Core i9 12th Gen 12900HK (2.50GHz) NVIDIA GeForce RTX 3080 Ti Laptop GPU 64 GB DDR5 2TB NVMe SSD Windows 11 Home 64-bit Gaming Laptop (Raider GE66 12UHS-235)",N/A,"$ 3,829.00",
"Newest Acer Predator Triton 16"" Gaming Laptop, Intel Core i7-12700H, GeForce RTX 3070Ti, 32GB DDR5 RAM, 1TB SSD, Backlit Keyboard, Wi-Fi 6E, Windows 11 Home, Cefesfy",N/A,"$ 1,898.99",8 Offers
